site,temp,rep,n
BI,5,01,8
BI,5,02,10
BI,5,03,10
BI,5,04,8
BI,5,05,10
BI,15,01,8
BI,15,02,10
BI,15,03,10
BI,15,04,10
BI,15,05,10
BI,15,06,10
BI,20,01,8
BI,20,02,10
BI,20,03,10
BI,20,04,7
BI,20,05,10
BI,20,06,5
NP,5,01,10
NP,5,02,10
NP,5,03,10
NP,5,04,4
NP,5,05,10
NP,5,06,10
NP,10,01,10
NP,10,02,9
NP,10,03,10
NP,10,04,9
NP,10,05,10
NP,10,06,11
NP,15,01,12
NP,15,02,11
NP,15,03,10
NP,15,04,11
NP,15,05,11
NP,15,06,10
NP,20,01,10
NP,20,02,10
NP,20,03,3
NP,20,04,12
NP,20,05,9
NP,20,06,10
NP,25,01,6
NP,25,02,1
NP,25,03,12
NP,25,04,9
NP,25,05,1
NP,25,06,5
NP,30,01,1
RP,5,01,10
RP,5,02,10
RP,5,03,13
RP,5,04,11
RP,5,05,11
RP,5,06,11
RP,10,01,18
RP,10,02,10
RP,10,03,10
RP,10,04,10
RP,10,05,10
RP,10,06,10
RP,15,01,10
RP,15,02,10
RP,15,03,10
RP,15,04,10
RP,15,05,9
RP,15,06,10
RP,20,01,11
RP,20,02,9
RP,20,03,10
RP,20,04,10
RP,20,05,11
RP,20,06,10
